paper_title,paper_authors,paper_venue,paper_year,source_file,element_type,evidence_type,section,text,confidence,page_number,element_id
Autisticadults,Unknown,,,autisticadults.pdf,method,qualitative,abstract,scoping review analysis of 11 projects across 18 papers that focused on including autistic adults in the design of technology that impacts their lives,0.9,1,111e1372-7d62-4f66-939b-ac1016b3631b
Autisticadults,Unknown,,,autisticadults.pdf,finding,qualitative,abstract,mixed positions on how the lived autistic perspective was harnessed to direct the application of topics and technologies chosen,0.9,1,d05d7827-bde3-44ba-b03b-49d1c5978b99
Autisticadults,Unknown,,,autisticadults.pdf,finding,qualitative,abstract,"Most projects employed infrastructures to enhance participation (e.g., providing multiple modes to participate or employing a tailored methodology)",0.85,1,d77d01fe-1ee1-4bf7-97df-fcb2e24634b6
Autisticadults,Unknown,,,autisticadults.pdf,claim,unknown,introduction,"In this scoping review, we investigate the involvement of autistic adults1 in technology design.",0.95,1,6d609778-9800-4e14-ad6c-5dff93a2b54b
Autisticadults,Unknown,,,autisticadults.pdf,claim,unknown,introduction,"There has been increasing interest in supporting autistic adults with technology (for example, at home [68, 87] or at work [35, 82]).",0.9,1,695dc31b-0599-4b1b-b0d7-6881898f809d
Autisticadults,Unknown,,,autisticadults.pdf,claim,qualitative,introduction,"a growing concern relates to 1In this article, we use identity-first language (i.e. autistic adult) rather than person-first language (i.e. person with autism), as this has been the preference of the autistic community [84].",0.8,1,bacba2f2-dae8-4937-bcf8-42dc8864c758
Autisticadults,Unknown,,,autisticadults.pdf,claim,theoretical,related_work,Autism research has been framed in three ways.,0.95,2,e7c823f9-5641-4578-b1e4-fa4df4f204d0
Autisticadults,Unknown,,,autisticadults.pdf,claim,theoretical,related_work,One perspective views the autistic person as having problems that need to be fixed.,0.95,2,22e8b13e-fa83-468f-8b3e-9fa639976c1f
Autisticadults,Unknown,,,autisticadults.pdf,claim,theoretical,related_work,"Infamously, the medical model positions autism as a “deficit” with traits that need to be cured [3].",0.95,2,77e7c80b-262c-46e4-bcca-3d43a40ead8f
Autisticadults,Unknown,,,autisticadults.pdf,claim,theoretical,related_work,"For instance, the Diagnostic and Statistical Manual of Mental Disorders (DSM-5) is often referred to when diagnosing autism [5]; the diagnostic criteria positions autistic traits as impairments, notably in social relationships, motor movements, and executive functioning.",0.95,2,9818d789-7f32-4350-8066-4ae1b8ee5a65
Autisticadults,Unknown,,,autisticadults.pdf,claim,theoretical,related_work,"Moreover, the theory of mind positions autistic people as unable to understand the mental states of themselves and others [7].",0.95,2,6f2872ad-ec9e-4770-ab54-cfd394d3fe98
Autisticadults,Unknown,,,autisticadults.pdf,claim,theoretical,related_work,Autistic people have been characterised as having difficulties seeing the “bigger picture” due to their tendencies to focus on details [34].,0.95,2,2834efa7-231d-49fe-a21f-f3e565b9af59
Autisticadults,Unknown,,,autisticadults.pdf,claim,theoretical,related_work,"While many autistic people need support in daily life, framing the problem from within the autistic person has been seen as harmful; it promotes a perception that autistic people must change their behaviour and adapt to the context [16, 54, 80].",0.95,2,88f56665-eb20-4fc6-a35a-9ffb7afde1aa
Autisticadults,Unknown,,,autisticadults.pdf,claim,theoretical,related_work,"Thus, they have been contested by autistic advocates because they assume that there is an ideal mind to be attained [43, 45, 80].",0.95,2,f379ef31-b08c-4e09-b969-1547052271df
Autisticadults,Unknown,,,autisticadults.pdf,claim,theoretical,related_work,"Many autistic people engage in self-stimulatory movements, such as hand rocking and fidgeting, that help regulate emotions [46].",0.95,2,356dceff-33cb-4557-bf4d-6b620f7c2806
Autisticadults,Unknown,,,autisticadults.pdf,method,mixed,methodology,"We employed the Joanna Briggs approach [65] as our search strategy, driven by our goal to include a wide range of case studies involving autistic adults in designing technology.",0.9,4,03d88c48-b2cc-4efd-891c-ef84af2c7f8d
Autisticadults,Unknown,,,autisticadults.pdf,method,mixed,methodology,The Joanna Briggs Scoping approach allowed us to scan reference lists of included papers for other relevant sources.,0.85,4,bf54e46b-f775-4ce2-a0b5-5ce6500e2753
Autisticadults,Unknown,,,autisticadults.pdf,method,quantitative,methodology,"To obtain these keywords, one author created a Python script that counted keyword frequency from the corpus after the phase 1 filtering removed irrelevant papers (e.g., false positives, duplicates, or concerning children).",0.9,4,409e98f3-a090-4aea-ad30-5b97a57c47d8
Autisticadults,Unknown,,,autisticadults.pdf,finding,qualitative,discussion,The projects involved autistic adults in different ways to share their expertise on topics and the project direction.,0.95,12,499df0b7-b07e-4069-bb6c-541bb0ff5b0a
Autisticadults,Unknown,,,autisticadults.pdf,finding,qualitative,discussion,All but one project had predefined goals or topics.,0.95,12,bb18b611-3bfc-45ac-ad6a-9cf3d597a07b
Autisticadults,Unknown,,,autisticadults.pdf,finding,qualitative,discussion,"Five projects concentrated on the involvement of autistic adults in shaping the understanding of the project topic (AHAT, Inclusive Online Dating, AccessASD, PIUMA, Reimagining Social Media).",0.95,12,7bc7ca80-4d64-42a5-8884-892b49c407a7
Autisticadults,Unknown,,,autisticadults.pdf,finding,qualitative,discussion,"These projects were driven by methodological approaches intended to understand the perspective of autistic adults and draw on their expertise on the topic, whether through customised participatory methodologies (AccessASD, AHAT) or with a philosophy of understanding the topic from the perspective of autistic adults (e.g., by embedding approaches that focus on lived experience (PIUMA)) or intending to understand a particular topic from the autistic perspective (Reimagining Social Media).",0.95,12,49317d78-f7dc-47d4-ae7c-5b2b17a30b06
Autisticadults,Unknown,,,autisticadults.pdf,finding,qualitative,discussion,"In Connecting through Kinect, autistic partners were valued for their expertise in game design, which was harnessed in the design process.",0.95,12,001291f1-2fb3-4c14-9003-6879cef18ac6
Autisticadults,Unknown,,,autisticadults.pdf,finding,qualitative,discussion,This suggests that the autistic perspective as a way of experiencing the world is valued across projects.,0.95,12,6f5fbcec-a835-4bdd-ade2-f0e7fb8fd96a
Autisticadults,Unknown,,,autisticadults.pdf,finding,qualitative,discussion,It is important to note that the level of participation differed between the projects.,0.95,12,8d8dc1aa-d95f-4c92-a637-8fa70dd5a82c
